city,activity,name,latitude,longitude,price,rating,place_id
Luxor,Cafe and Restaurant,Casa Di Napoli,25.69239006,32.6303805,100,4,428
Luxor,Cafe and Restaurant,Lotus,25.70576221,32.6408205,100,4,429
Luxor,Cafe and Restaurant,Le Bougainvillier,25.7200264,32.64880009,300,4,430
Luxor,Cafe and Restaurant,Areeka,25.69497607,32.63871323,250,4,431
Luxor,Cafe and Restaurant,Twinky Patisserie,25.70261529,32.64388807,300,4,432
Luxor,Cafe and Restaurant,Bayt Ward ,25.72812071,32.65441342,150,4,433
Luxor,Cafe and Restaurant,Thai Restaurant,25.69517445,32.63003718,150,4,434
Luxor,Cafe and Restaurant,Selfie,25.69601283,32.63805407,200,4,435
Luxor,Cafe and Restaurant,Hamees,25.71501191,32.64811885,150,4,436
Luxor,Cafe and Restaurant,Egyptian Home Food,25.70470205,32.63124837,200,4,437
Luxor,Cafe and Restaurant,El Sabaa,25.71817054,32.65017338,150,4,438
Luxor,Cafe and Restaurant,Caffe Moka,25.69992011,32.63671492,300,4,439
Luxor,Cafe and Restaurant,Emperor Cafe,25.69356877,32.63808826,200,4,440
Luxor,Cafe and Restaurant,Food and ambience,25.69295002,32.63774493,150,4,441
Luxor,Cafe and Restaurant,Zam Zam,25.71547579,32.62286426,150,4,442
Luxor,Cafe and Restaurant,The Roof Terrace,25.70891527,32.63228922,200,4,443
Luxor,Cafe and Restaurant,Chicken Broast,25.69865239,32.64247236,150,4,444
Luxor,Cafe and Restaurant,Peace,25.71755191,32.6474268,150,4,445
Luxor,Cafe and Restaurant,The Romance Pizzeria,25.70238506,32.63454412,150,4,446
Luxor,Cafe and Restaurant,Akher Saa,25.70173704,32.64015563,200,4,447
Luxor,Cafe and Restaurant,Maro,25.70035671,32.64724212,150,4,448
Luxor,Cafe and Restaurant,Horus Cafe,25.72639575,32.65778279,100,4,449
Luxor,Cafe and Restaurant,Luxor Cafe,25.72330223,32.65364752,100,4,450
Luxor,Cafe and Restaurant,Luxor Museum Cafe,25.72250084,32.64777012,100,4,451
Luxor,Cafe and Restaurant,YuShanFang Royal Chinese,25.72331169,32.6503772,150,4,452
Luxor,Cafe and Restaurant,Crocodile,25.70763164,32.63319235,150,4,453
Luxor,Cafe and Restaurant,Al Mina ,25.71711208,32.63910769,150,4,454
Luxor,Cafe and Restaurant,Chez Omar,25.70704352,32.64245478,200,4,455
Luxor,Cafe and Restaurant,Magneto Cafe,25.68250993,32.64184294,150,4,456
Luxor,Cafe and Restaurant,Saad Sons ,25.69210398,32.63362279,200,4,457
Luxor,Cafe and Restaurant,Zeitoun,25.69418315,32.62228692,150,4,458
Luxor,Cafe and Restaurant,Dr. Ai Cafe,25.70711177,32.63107171,150,4,459
Luxor,Cafe and Restaurant, Tropicana,25.69146192,32.63175379,200,4,460
Luxor,Cafe and Restaurant,Cafe des D�lices,25.69548382,32.63003718,250,4,461
Luxor,Cafe and Restaurant,The Nubian,25.69208068,32.63141047,250,4,462
Luxor,Cafe and Restaurant,The View,25.6945557,32.63209711,200,4,463
Luxor,Cafe and Restaurant,Atfdilos Crepes,25.69489132,32.63770012,150,4,464
Luxor,Cafe and Restaurant,Tito Cafe,25.66729959,32.63104359,150,4,465
Luxor,Cafe and Restaurant,Al Baladi Restaurant,25.69343277,32.63854666,200,4,466
Luxor,Cafe and Restaurant,Sky,25.71377462,32.64674556,150,4,467
Luxor,Cafe and Restaurant,CTV,25.71439327,32.64880549,150,4,468
Luxor,Cafe and Restaurant,Shababik Luxor ,25.6917124,32.63946185,200,4,469
Luxor,Cafe and Restaurant,Queen,25.69552434,32.6375631,200,4,470
Luxor,Cafe and Restaurant,Abu Adam Grills,25.69202178,32.64049181,150,4,471
Luxor,Cafe and Restaurant,Cafeteria SALT & BREAD,25.70438962,32.6438233,175,4,472
Luxor,Accomodation,steigenberger Resort Achi,25.68256171,32.627716,1100,5,473
Luxor,Accomodation,Hilton Luxor Resort and Spa,25.73041378,32.65661077,2827,5,474
Luxor,Accomodation,Pavillon Winter Luxor,25.69690916,32.63860902,1414,5,475
Luxor,Accomodation,steigenberger nile palace Luxor,25.68760162,32.63123057,822,5,476
Luxor,Accomodation,Jollie Ville Hotel and Spa ,25.66567041,32.6217177,1395,5,477
Luxor,Accomodation,Scofitel Winter Palace  Luxor,25.69666175,32.63712257,2475,5,478
Luxor,Accomodation,Sonesta St. George Hotel,25.68865462,32.63130087,1149,5,479
Luxor,Accomodation,Pyramisa Hotel Luxor,25.68657455,32.63061058,582,4,480
Luxor,Accomodation,Iberotel Luxor,25.69452265,32.63505087,786,4,481
Luxor,Accomodation,Aracan Eatabe Luxor Hotel,25.70519155,32.64303351,569,4,482
Luxor,Accomodation,Al Moudira Hotel,25.68453308,32.55275427,4378,4,483
Luxor,Accomodation,Jewel Luxor Hotel,25.69717282,32.63655807,839,4,484
Luxor,Accomodation,El Mesala Hotel,25.70315462,32.63368527,741,3,485
Luxor,Accomodation,Thebes Hotel,25.71278945,32.62455823,739,3,486
Luxor,Accomodation,Sussana Hotel Luxor,25.70132335,32.64189438,461,3,487
Luxor,Accomodation,Nile Valley Hotel,25.70419152,32.63370197,821,3,488
Luxor,Accomodation,Sunflower Guest House Luxor West Bank,25.70541542,32.6321887,328,3,489
Luxor,Accomodation,Gaddis Hotel Suites,25.68572782,32.63120517,442,3,490
Luxor,Accomodation,Razieky Hotel and camp,25.71100767,32.64831914,365,3,491
